









"95664                                   " "00078985393414617003                    " "      " 28 5.00 044 00.68 27.2 72.8 21.9 27.8 6.40 4.61 75.2 07.3 "41-1" 076 00.0
"95664                                   " "000078985393414617003                   " "      " 28 6.00 046 00.70 30.3 82.1 08.2 30.3 6.60 4.60 75.2 07.3 "41-1" 134 00.0
"95664                                   " "00078985393414616990\                   " "      " 28 7.00 062 01.01 30.4 82.1 08.1 31.3 6.60 4.55 74.6 07.2 "41-1" 137 00.0
"95664                                   " "00078985393414616983                    " "      " 28 7.00 072 01.14 30.2 82.2 08.2 32.0 6.50 4.63 74.7 07.3 "41-1" 139 00.0
"95664                                   " "00078985393414616976                    " "      " 28 7.00 064 01.01 30.4 83.4 07.5 31.0 6.50 4.51 75.1 07.1 "41-1" 143 00.0
"95664                                   " "00078985393414616969                    " "      " 28 7.00 064 01.11 30.3 82.8 07.8 32.2 6.60 4.54 74.8 07.4 "41-1" 143 00.0
"95664                                   " "00078985393414616914                    " "      " 28 6.00 044 00.77 30.5 83.9 07.3 30.8 6.60 4.74 76.4 07.5 "31-2" 144 00.0
"95664                                   " "00078985393414616921                    " "      " 28 6.00 053 00.92 30.9 83.6 07.3 32.0 6.50 4.76 75.8 07.1 "41-1" 146 00.0
"95664                                   " "00078985393414616938                    " "      " 28 7.00 066 01.10 30.6 82.1 08.0 30.4 6.60 4.51 75.7 07.1 "41-1" 136 00.0
"95664                                   " "00078985393414616945                    " "      " 28 7.00 064 01.09 30.5 82.9 07.7 27.4 6.50 5.53 74.2 07.2 "41-2" 121 00.0
"95664                                   " "00078985393414616952                    " "      " 28 8.00 073 01.31 30.3 83.5 07.6 30.5 6.60 4.46 73.8 07.1 "41-2" 141 00.0
"95664                                   " "00078985393414616945                    " "      " 28 8.00 072 01.32 30.5 81.8 08.3 30.2 6.50 4.44 73.9 07.1 "41-2" 133 00.0
"95664                                   " "00078985393414616853                    " "      " 28 8.00 084 01.47 29.8 80.8 09.2 30.5 6.50 4.50 74.6 07.3 "41-1" 129 00.0
"95664                                   " "00078985393414616846                    " "      " 28 8.00 077 01.25 30.6 83.1 07.6 30.9 6.50 4.52 74.5 07.5 "41-1" 141 00.0
"95664                                   " "00078985393414616839                    " "      " 28 8.00 078 01.47 30.6 82.6 07.8 31.5 6.60 4.60 74.4 07.2 "41-1" 140 00.0
"95664                                   " "00078985393414616822                    " "      " 28 7.00 070 01.14 29.7 79.9 10.0 31.5 6.50 4.63 74.6 07.0 "41-2" 125 00.0
"95664                                   " "00078985393414616815                    " "      " 28 8.00 081 01.46 30.7 83.3 07.5 30.5 6.60 4.83 74.0 06.8 "41-2" 138 00.0
"95664                                   " "00078985393414616907                    " "      " 28 7.00 055 01.00 30.6 83.1 07.6 30.6 6.60 4.82 74.6 07.0 "41-2" 138 00.0
"95664                                   " "00078985393414616891                    " "      " 28 7.00 059 01.14 30.3 82.7 07.9 32.6 6.50 4.82 75.2 06.9 "41-1" 142 00.0
"95664                                   " "00078985393414616884                    " "      " 28 7.00 058 01.01 29.8 81.4 08.9 30.0 6.50 4.82 75.5 07.1 "41-1" 127 00.0
"95664                                   " "00078985393414616877                    " "      " 28 8.00 068 01.41 31.5 83.9 07.0 31.3 6.50 4.60 74.4 06.9 "41-2" 147 00.0
"95664                                   " "000078985393414616860                   " "      " 28 8.00 078 01.56 30.9 83.8 07.2 32.4 6.60 4.65 74.5 07.0 "41-2" 149 00.0
"95664                                   " "00078985393414616716                    " "      " 28 7.00 060 01.06 30.3 82.4 08.0 31.1 6.50 4.77 74.7 07.6 "41-1" 136 00.0
"95664                                   " "00078985393414616723                    " "      " 28 7.00 064 01.01 30.6 82.4 07.9 31.6 6.50 4.65 75.1 07.3 "41-1" 139 00.0
"95664                                   " "00078985393414616730                    " "      " 28 8.00 069 01.23 30.6 82.6 07.8 31.7 6.50 4.57 74.8 07.1 "41-1" 141 00.0
"95664                                   " "00078985393414616747                    " "      " 28 7.00 067 01.06 30.8 82.6 07.7 30.3 6.60 4.58 75.6 07.3 "41-1" 138 00.0
"95664                                   " "00078985393414616754                    " "      " 28 8.00 078 01.36 30.1 81.3 08.8 32.0 6.50 4.60 74.4 07.1 "41-2" 134 00.0
